Iteration,Cost,Temperature,Sequence
0,17,5000,2 3 1
260,17,0,007692292,2 3 1
261,17,0,00766282,2 3 1
262,17,0,007633573,2 3 1
263,17,0,007604548,2 3 1
264,17,0,007575743,2 3 1
265,17,0,007547155,2 3 1
266,17,0,007518783,2 3 1
267,17,0,007490622,2 3 1
268,17,0,007462672,2 3 1
269,17,0,00743493,2 3 1
270,17,0,007407393,2 3 1
271,17,0,00738006,2 3 1
272,17,0,007352927,2 3 1
273,17,0,007325993,2 3 1
274,17,0,007299256,2 3 1
275,17,0,007272713,2 3 1
276,17,0,007246363,2 3 1
277,17,0,007220203,2 3 1
278,17,0,007194231,2 3 1
279,17,0,007168445,2 3 1
280,17,0,007142844,2 3 1
281,17,0,007117425,2 3 1
282,17,0,007092185,2 3 1
283,17,0,007067125,2 3 1
284,17,0,00704224,2 3 1
285,17,0,007017531,2 3 1
286,17,0,006992994,2 3 1
287,17,0,006968629,2 3 1
288,17,0,006944432,2 3 1
289,17,0,006920402,2 3 1
290,17,0,006896539,2 3 1
291,17,0,00687284,2 3 1
292,17,0,006849303,2 3 1
293,17,0,006825927,2 3 1
294,17,0,006802709,2 3 1
295,17,0,006779649,2 3 1
296,17,0,006756745,2 3 1
297,17,0,006733995,2 3 1
298,17,0,006711398,2 3 1
299,17,0,006688952,2 3 1
300,17,0,006666655,2 3 1
301,17,0,006644507,2 3 1
302,17,0,006622505,2 3 1
303,17,0,006600649,2 3 1
304,17,0,006578936,2 3 1
305,17,0,006557366,2 3 1
306,17,0,006535937,2 3 1
307,17,0,006514647,2 3 1
308,17,0,006493496,2 3 1
309,17,0,006472481,2 3 1
310,17,0,006451603,2 3 1
311,17,0,006430858,2 3 1
312,17,0,006410246,2 3 1
313,17,0,006389766,2 3 1
314,17,0,006369417,2 3 1
315,17,0,006349196,2 3 1
316,17,0,006329104,2 3 1
317,17,0,006309138,2 3 1
318,17,0,006289298,2 3 1
319,17,0,006269583,2 3 1
320,17,0,00624999,2 3 1
321,17,0,00623052,2 3 1
322,17,0,00621117,2 3 1
323,17,0,006191941,2 3 1
324,17,0,00617283,2 3 1
325,17,0,006153837,2 3 1
326,17,0,00613496,2 3 1
327,17,0,006116199,2 3 1
328,17,0,006097552,2 3 1
329,17,0,006079018,2 3 1
330,17,0,006060597,2 3 1
331,17,0,006042287,2 3 1
332,17,0,006024087,2 3 1
333,17,0,006005997,2 3 1
334,17,0,005988015,2 3 1
335,17,0,00597014,2 3 1
336,17,0,005952372,2 3 1
337,17,0,005934709,2 3 1
338,17,0,005917151,2 3 1
339,17,0,005899697,2 3 1
340,17,0,005882345,2 3 1
341,17,0,005865094,2 3 1
342,17,0,005847945,2 3 1
343,17,0,005830896,2 3 1
344,17,0,005813946,2 3 1
345,17,0,005797093,2 3 1
346,17,0,005780339,2 3 1
347,17,0,005763681,2 3 1
348,17,0,005747118,2 3 1
349,17,0,005730651,2 3 1
350,17,0,005714278,2 3 1
351,17,0,005697998,2 3 1
352,17,0,005681811,2 3 1
353,17,0,005665715,2 3 1
354,17,0,005649711,2 3 1
355,17,0,005633796,2 3 1
356,17,0,005617971,2 3 1
357,17,0,005602234,2 3 1
358,17,0,005586585,2 3 1
359,17,0,005571024,2 3 1
360,17,0,005555549,2 3 1
361,17,0,00554016,2 3 1
362,17,0,005524855,2 3 1
363,17,0,005509635,2 3 1
364,17,0,005494499,2 3 1
365,17,0,005479445,2 3 1
366,17,0,005464474,2 3 1
367,17,0,005449585,2 3 1
368,17,0,005434776,2 3 1
369,17,0,005420048,2 3 1
370,17,0,005405399,2 3 1
371,17,0,005390829,2 3 1
372,17,0,005376338,2 3 1
