Iteration,Cost,Temperature,Sequence
87,215,115,3329,8 14 1 9 7 3 18 2 17 5 6 13 19 15 16 4 10 20 11 12
88,235,109,5662,8 14 1 9 15 3 18 2 17 5 6 13 19 7 16 4 10 20 11 12
89,225,104,0879,14 8 1 9 15 3 18 2 17 5 6 13 19 7 16 4 10 20 11 12
90,221,98,88354,14 8 1 9 20 3 18 2 17 5 6 13 19 7 16 4 10 15 11 12
91,207,93,93936,14 8 1 9 20 3 2 18 17 5 6 13 19 7 16 4 10 15 11 12
92,211,89,24239,14 8 1 9 20 3 2 18 10 5 6 13 19 7 16 4 17 15 11 12
93,213,84,78027,14 8 1 9 20 3 12 18 10 5 6 13 19 7 16 4 17 15 11 2
94,207,80,54125,14 8 1 9 3 20 12 18 10 5 6 13 19 7 16 4 17 15 11 2
95,209,76,51419,14 8 1 9 3 20 7 18 10 5 6 13 19 12 16 4 17 15 11 2
96,211,72,68848,14 8 1 9 3 19 7 18 10 5 6 13 20 12 16 4 17 15 11 2
97,209,69,05405,14 8 1 9 3 5 7 18 10 19 6 13 20 12 16 4 17 15 11 2
98,167,65,60135,14 8 1 9 3 5 7 6 10 19 18 13 20 12 16 4 17 15 11 2
99,163,62,32129,14 10 1 9 3 5 7 6 8 19 18 13 20 12 16 4 17 15 11 2
100,159,59,20522,14 10 16 9 3 5 7 6 8 19 18 13 20 12 1 4 17 15 11 2
101,167,56,24495,14 8 16 9 3 5 7 6 10 19 18 13 20 12 1 4 17 15 11 2
102,167,53,43271,14 8 16 9 3 5 7 6 10 2 18 13 20 12 1 4 17 15 11 19
103,165,50,76107,14 8 10 9 3 5 7 6 16 2 18 13 20 12 1 4 17 15 11 19
104,181,48,22302,14 8 10 4 3 5 7 6 16 2 18 13 20 12 1 9 17 15 11 19
105,179,45,81186,14 8 10 4 3 5 7 6 16 2 18 13 20 12 1 11 17 15 9 19
106,163,43,52127,14 8 10 4 3 5 7 6 16 20 18 13 2 12 1 11 17 15 9 19
107,161,41,34521,14 8 10 4 3 5 7 6 16 20 18 11 2 12 1 13 17 15 9 19
108,161,39,27795,14 8 10 4 3 5 7 6 16 20 18 11 2 12 1 13 17 15 9 19
109,155,37,31405,14 8 10 4 3 5 7 6 16 20 18 11 2 12 9 13 17 15 1 19
110,143,35,44835,14 8 10 4 3 5 7 6 16 20 18 11 2 1 9 13 17 15 12 19
111,147,33,67593,14 8 10 4 3 5 7 6 16 20 15 11 2 1 9 13 17 18 12 19
112,161,31,99213,14 8 10 4 3 5 7 6 13 20 15 11 2 1 9 16 17 18 12 19
113,159,30,39252,14 8 10 4 3 5 7 6 13 20 15 18 2 1 9 16 17 11 12 19
114,167,28,8729,14 8 10 16 3 5 7 6 13 20 15 18 2 1 9 4 17 11 12 19
115,175,27,42925,14 8 10 16 3 5 17 6 13 20 15 18 2 1 9 4 7 11 12 19
116,185,26,05779,14 3 10 16 8 5 17 6 13 20 15 18 2 1 9 4 7 11 12 19
117,183,24,7549,14 3 10 16 8 6 17 5 13 20 15 18 2 1 9 4 7 11 12 19
118,183,23,51715,14 3 10 16 8 6 20 5 13 17 15 18 2 1 9 4 7 11 12 19
119,199,22,3413,14 3 12 16 8 6 20 5 13 17 15 18 2 1 9 4 7 11 10 19
120,201,21,22423,14 3 12 16 8 6 20 5 13 19 15 18 2 1 9 4 7 11 10 17
121,177,20,16302,14 3 12 9 8 6 20 5 13 19 15 18 2 1 16 4 7 11 10 17
122,183,19,15487,14 3 12 9 8 6 20 5 13 19 15 1 2 18 16 4 7 11 10 17
123,183,18,19712,14 3 12 9 8 6 20 5 13 18 15 1 2 19 16 4 7 11 10 17
124,183,17,28727,14 3 12 9 8 6 20 5 13 18 15 1 2 19 16 4 7 11 10 17
125,181,16,4229,14 3 12 9 8 6 20 7 13 18 15 1 2 19 16 4 5 11 10 17
126,175,15,60176,14 16 12 9 8 6 20 7 13 18 15 1 2 19 3 4 5 11 10 17
127,163,14,82167,14 16 12 9 8 6 20 19 13 18 15 1 2 7 3 4 5 11 10 17
128,163,14,08059,14 16 12 4 8 6 20 19 13 18 15 1 2 7 3 9 5 11 10 17
129,161,13,37656,14 16 4 12 8 6 20 19 13 18 15 1 2 7 3 9 5 11 10 17
130,165,12,70773,14 16 18 12 8 6 20 19 13 4 15 1 2 7 3 9 5 11 10 17
131,169,12,07234,14 16 18 12 13 6 20 19 8 4 15 1 2 7 3 9 5 11 10 17
